,0
Bill Hagerty ,William Cassidy
Rob Portman ,Robert Jones Portman
William Thornberry,William McClellan Thornberry
Rep. Jim Jordan ,James D. Jordan
Rep. Brad Wenstrup ,Brad R. Wenstrup
Rep. Tom Emmer ,Thomas Earl Emmer Jr.
Rep. Steve Scalise ,Stephen J. Scalise
Rep. George Holding ,George Edward Bell Holding
Rep. Steve Chabot ,Steven Joseph Chabot
Rep. Chuck Fleischmann,Charles J. Fleischmann
Rep. Fred Upton ,Frederick Stephen Upton
Rep. Bob Latta ,Robert Edward Latta
Sen. Roy Blunt ,Roy D. Blunt
Sen. Lindsey Graham ,Lindsey Olin Graham
Sen. Debbie Stabenow ,Deborah Ann Stabenow
Sen. Gary Peters ,Gary C. Peters
Sen. Catherine Cortez Masto ,Catherine Marie Cortez Masto
Sen. Tim Kaine ,Timothy Michael Kaine
Sen. Sherrod Brown ,Sherrod Campbell Brown
Rep. Liz Cheney ,Elizabeth Lynne Cheney
Rep. Kevin McCarthy ,Kevin O. McCarthy
Rep. Kathy Castor ,Katherine Anne Castor
Rep. Billy Long ,Billy Long
Amodei for Nevada,Mark Eugene Amodei
Donald Bolduc,Donald Edwin Young
Susan M Collins ,Susan Margaret Collins
William Long,Billy Long
James Jordan,James D. Jordan
William Clay,William Lacy Clay Jr.
Jeffrey Fortenberry,Jeffrey Lane Fortenberry
James Lower,Mark James DeSaulnier
Christopher Stewart,Christopher Douglas Stewart
Jason Lewis,John Robert Lewis
G. Mike Kelly,George J. Kelly Jr.
Carl DeMaio for Congress,Christopher Carl Collins
Senator Tammy Baldwin,Tammy Suzanne Green Baldwin
Scott Fitzgerald,Timothy Eugene Scott
Rep. Frank Lucas,Frank Dean Lucas
Rep. Ben Sasse,Benjamin Eric Sasse
Tom Tiffany,Thomas Miller McClintock
Iowa State Representative Patrick Grassley,Charles Ernest Grassley
Sen. Sheldon Whitehouse,Sheldon Whitehouse II
Joint Fundraising Committee of Perdue for Senate and One Georgia PAC (Sen. Perdue Leadership PAC),David Alfred Perdue Jr.
Don Bolduc,Donald Edwin Young
Barry Grissom,Barry Dean Loudermilk
Representative Dan Bishop (Non-Monetary Contribution),James Daniel Bishop
Senator Shelley Moore Capito (Non-Monetary Contribution),Shelley Moore Capito
Hon. Don Young,Donald Edwin Young
Tony Gonzales,Antonio Cardenas
Nydia Velazquez for Congress,Nydia Margarita Velazquez
Debbie Wasserman Schultz ,Debbie Wasserman Schultz
Jim Hagerty,James Mountain Inhofe
Ryan Costello,Timothy J. Ryan
Mark Sanford,Mark James DeSaulnier
Francis Rooney,Francis Rooney
Harold Rogers,Harold Dallas Rogers
Sen. Kevin Cramer,Kevin J. Cramer
Rep. Cathy McMorris,Cathy Ann McMorris Rodgers
Rep. Robert Scott,Robert Cortez Scott
Senator Margaret Hassan,Margaret Wood Hassan
Rep. Thomas Suozzi,Thomas R. Suozzi
Rep. Ben Lujan,Ben Ray Lujan Jr.
Sen Jack F Reed,John Francis Reed
Rep Daniel W Lipinski,Daniel William Lipinski
Senator McConnell,Addison Mitchell McConnell
Representative Steve Scalise,Stephen J. Scalise
Representative Andy Biggs,Andy Biggs
Representative Luis Correa,Jose Luis Correa
Representative Ted Deutch,Theodore Eliot Deutch
Representative Doug Collins,Douglas Allen Collins
Representative Hakeem Jeffries,Hakeem S. Jeffries
Representative Mary Gay Scanlon,Mary Gay Scanlon
Representative Tom McClintock,Thomas Miller McClintock
U.S. Representative Xochitl Torres Small,Xochitl Liana A.I. Torres-Small
U.S. Representative Angie Craig,Angela Dawn Craig
U.S. Representative Cindy Axne,Cindy Axne
U.S. Senator Tina Smith,Tina Flint Smith
U.S. Senator Patrick Leahy,Patrick Joseph Leahy
U.S. Representative Debbie Mucarsel-Powell,Debbie Mucarsel-Powell
U.S. Representative Mikie Sherrill,Rebecca Michelle Sherrill
U.S. Representative Abigail Spanberger,Abigail Anne D. Spanberger
U.S. Representative Sean Casten,Sean Casten
U.S. Representative Haley Stevens,Haley Stevens
U.S. Representative Lauren Underwood,Lauren A. Underwood
U.S. Representative Lizzie Fletcher,Elizabeth Pannill Fletcher
U.S. Representative Kendra Horn,Kendra Horn
U.S. Representative Chrissy Houlahan,Christina Jampoler Houlahan
U.S. Representative Richard E. Neal ,Richard Edmund Neal
Rep. Garret Graves ,Garret N. Graves
Rep. Jerry Moran,Jerry Moran
Rep. Peter DeFaizo,Peter Anthony DeFazio
Rep. Jim Clyburn ,James Enos Clyburn
Rep Julia Brownley,Julia Brownley
Rep Lori Trahan,Loureiro Trahan
Rep Chris C Collins,Christopher Carl Collins
Rep Andre D Carson,Andre D. Carson
Rep Kevin R Hern,Kevin R. Hern
Rep Jim Baird,James Richard Baird
Rep Mark DeSaulnier,Mark James DeSaulnier
Rep Glenn S Grothman,Glenn S. Grothman
Rep Pete J Visclosky,Peter J. Visclosky
Rep Judy Chu,Judy Chu
Rep Alan Lowenthal,Alan S. Lowenthal
Rep Angie Craig,Angela Dawn Craig
Rep Joe P Kennedy III,Joseph Patrick Kennedy III
Cong. G.T. Thompson,Charles Michael Thompson
Cong. Peter DeFazio,Peter Anthony DeFazio
Rep Dan Kildee,Daniel Timothy Kildee
Rep Richard Neal ,Richard Edmund Neal
Rep Gary Peters ,Gary C. Peters
Rep. Bradley Byrne,Bradley Roberts Byrne
Rep. Jason Lewis,John Robert Lewis
Senator John Tester,R. Jon Tester
Senator Mike  Rounds,Marion Michael Rounds
Rep. Ann Kuster,Ann McLane Kuster
J Street PAC,James Enos Clyburn
Jim Harper,James Mountain Inhofe
Ed Markey for U.S. Senate,Edward John Markey
Crapo Victory Committee,Michael Dean Crapo
Sen. Tom Tiffany,Patrick Joseph Toomey
"Reps. Don Bacon, Mike Bost, James Comer, Rodney Davis, Russ Fulcher, and Dan Newhouse",James R. Comer Jr.
Mar Veasey,Marc Allison Veasey
Congresswoman Norma Torres,Norma J. Torres
Stephanie Schmid ,Stephanie Murphy
Rudy Soto ,Darren Michael Soto
Clay Higgins for Congress,Clay Higgins
Barbara Bollier,Barbara J. Lee
Dr. Raul Ruiz,Raul Ruiz
Cindy Axne for Congress,Cindy Axne
Don Bacon for Congress,Donald John Bacon
Barragan for Congress,Nanette Diaz Barragan
Sanford Bishop for Congress,Sanford Dixon Bishop Jr.
Carolyn for Congress,Marcia Carolyn Kaptur
Anthony Brindisi for Congress,Anthony J. Brindisi
Julia Brownley for Congress,Julia Brownley
Cicilline Committee,David N. Cicilline
Clark for Congress,Katherine M. Clark
"Clay, Jr. for Congress",William Lacy Clay Jr.
Steve Cohen for Congress,Stephen Ira Cohen
Gerry Connolly for Congress,Gerald Edward Connolly
Correa for Congress,Jose Luis Correa
Jim Costa for Congress Committee,James Manuel Costa
Sharice for Congress,Sharice Davids
Sharice Davids for Congress,Sharice Davids
Davis for Congress,Susan A. Davis
MAD4PA PAC,Peter Anthony DeFazio
DePasquale for PA 10,Diana Louise DeGette
Mario Diaz-Balart for Congress,Mario Diaz-Balart
Van Drew for Congress,Jeff Van Drew
Emmer for Congress,Thomas Earl Emmer Jr.
Veronica Escobar for Congress,Veronica Escobar
Finkenauer for Congress,Abby Finkenauer
Brian Fitzpatrick for Congress,Brian K. Fitzpatrick
Elizabeth Pannill Fletcher for Congress,Elizabeth Pannill Fletcher
Chuy Garcia for Congress,Sylvia R. Garcia
Sylvia Garcia for Congress,Sylvia R. Garcia
Jared Golden for Congress,Jared F. Golden
Jimmy Gomez for Congress,Jimmy Gomez
Josh Gottheimer for Congress,Joshua S. Gottheimer
Keep Al Green in Congress,Alexander Green
Deb Haaland for Congress,Debra A. Haaland
Jamie Harrison for US Senate,Jamin B. Raskin
Danny Heck for Congress,Dennis Heck
Martin Heinrich for Senate,Martin Trevor Heinrich
Kendra Horn for Congress,Kendra Horn
Dr. John Joyce for Congress,John Joyce
The Bill Keating Committee,William Richard Keating
Kildee for Congress,Daniel Timothy Kildee
Kirkpatrick for Congress,Ann Leila Kirkpatrick
Friends of Raja for Congress,S. Raja Krishnamoorthi
Kuster for Congress,Ann McLane Kuster
Citizens to Elect Rick Larsen for Congress,Richard Ray Larsen
Al Lawson for Congress,Alfred J. Lawson Jr.
John Lewis for Congress,John Robert Lewis
Alan Lowenthal for Congress Committee,Alan S. Lowenthal
People for Ben,Benjamin L. Cline
Tom Malinowski for Congress,Tomasz P. Malinowski
Manchin for West Virginia,Joseph Manchin III
Friends of Ben McAdams,Ben McAdams
McNerney for Congress Committee,Gerald Mark McNerney
Stephanie Murphy for Congress,Stephanie Murphy
Nadler for Congress,Jerrold Lewis Nadler
Tom O'Halleran for Congress,Tom O'Halleran
Ilhan for Congress,Ilhan Omar
Chris Pappas for Congress,Christopher C. Pappas
Donald Payne Jr. for Congress,Donald Milford Payne Jr.
Pingree for Congress,Rochelle M. Pingree
Katie Porter for Congress,Katherine Porter
Price for Congress,David Eugene Price
Max Rose for Congress,Max N. Rose
Rosen for Nevada,Jacklyn S. Rosen
Harley Rouda for Congress,Harley E. Rouda Jr.
Tim Ryan for Congress,Timothy J. Ryan
Schiff for Congress,Adam Bennett Schiff
Brad Schneider for Congress,Bradley Scott Schneider
David Scott for Congress Committee,David Albert Scott
Terri Sewell for Congress,Terrycina Andrea Sewell
Donna Shalala for Congress,Donna E. Shalala
Elissa Slotkin for Congress,Elissa B. Slotkin
Friends of Chris Smith,Christopher Henry Smith
Spanberger for Congress,Abigail Anne D. Spanberger
Pete Stauber for Congress,Peter Allen Stauber
Steve Stivers for US Congress,Steven E. Stivers
Steve Stivers for Congress,Steven E. Stivers
Suozzi for Congress,Thomas R. Suozzi
Friends of Bennie Thompson,Bennie G. Thompson
Paul Tonko for Congress,Paul David Tonko
Xochitl for New Mexico,Xochitl Liana A.I. Torres-Small
Norma Torres for Congress,Norma J. Torres
Lori Trahan for Congress,Loureiro Trahan
Jeff Van Drew for Congress,Jeff Van Drew
Committee to Re-elect Nydia Velazquez to Congress,Nydia Margarita Velazquez
Friends of Mark Warner,Mark Robert Warner
Welch for Congress,Peter F. Welch
Wexton for Congress,Jennifer T. Wexton
Susan Wild for Congress,Susan Ellis Wild
Frederica Wilson for Congress,Frederica S. Wilson
Zeldin for Congress,Lee Michael Zeldin
Rep. Dan Kildee (D-5th MI),Daniel Timothy Kildee
Rep. Susan Wild (D-7th PA),Susan Ellis Wild
Senator Perdue,David Alfred Perdue Jr.
Congressman Stewart,Christopher Douglas Stewart
Congressman Arrington,Jodey Cook Arrington
Congressman Stivers,Steven E. Stivers
Senator Barrasso,John Anthony Barrasso
Senator Capito,Shelley Moore Capito
Congresswoman Cheney,Elizabeth Lynne Cheney
Senator Tillis,Thomas Roland Tillis
Senator Burr,Richard Mauze Burr
Senator Murkowski,Lisa Ann Murkowski
Congressman Simpson,Michael Keith Simpson
Congressman David Young,Todd Christopher Young
Congresswoman Horn,Kendra Horn
Congressman Espaillat,Adriano Espaillat
Congressman Fil Vela,Filemon B. Vela
Congressman Raul Grijalva,Raul Manuel Grijalva
Congressman Horsford,Steven Alexzander Horsford
Congressman Ben Ray for Congress,Ben Ray Lujan Jr.
Congressman Ruben Gallego,Ruben Gallego
Congresswoman Debbie Wasserman Schultz,Debbie Wasserman Schultz
Federal Candidate Georgette Gomez,Jimmy Gomez
Congresswoman Lucille Roybal Allard,Lucille Roybal-Allard
Dan S. Sullivan,Daniel Scott Sullivan
Bill J. Pascrell Jr.,William J. Pascrell Jr.
Brian K. Fitzpatrick,Brian K. Fitzpatrick
Tom R. Carper,Thomas Richard Carper
Christopher A. Coons,Christopher A. Coons
Donald W. Norcross,Donald W. Norcross
Josh S. Gottheimer,Joshua S. Gottheimer
Mike D. Crapo,Michael Dean Crapo
Paul D. Tonko,Paul David Tonko
Mike K. Simpson,Michael Keith Simpson
Thomas R. Suozzi,Thomas R. Suozzi
Roger F. Wicker,Roger Frederick Wicker
Donald M. Payne Jr.,Donald Milford Payne Jr.
Cory Booker and Joseph Vitale,Cory Anthony Booker
Andrew Wheeler,Andrew Lamar Alexander
Jim Risch for Senate,James Elroy Risch
Angie Craig for Congress,Angela Dawn Craig
Ted Budd for Congress,Theodore Paul Budd
Donald J Trump,Timothy J. Ryan
"John Blair, Candidate (CO-03)",John Thomas Graves Jr.
"Dr. Maya Rockeymoore Cummings, Candidate (MD-07) ",Elijah Eugene Cummings
"Rhonda Foxx, Candidate (NC-06)",Virginia Ann Foxx
William P Huizenga,William P. Huizenga
Elise Stephanik,Elise M. Stefanik
Hon Brett S. Guthrie,Steven Brett Guthrie
Frank Pallone Jr.,Frank Joseph Pallone Jr.
Cory Gardener,Cory Scott Gardner
Suzan Delbene,Suzan Kay DelBene
Robery Edward Latta,Robert Edward Latta
Aston D. McEachin,Aston Donald McEachin
"Hon. William Pascrell, Jr.",William J. Pascrell Jr.
Anathony Brindisi,Anthony J. Brindisi
Senator Diane Feinstein,Dianne Feinstein
Rep. Mark DeSaulinier,Mark James DeSaulnier
Senator Catherine Cortez-Masto,Catherine Marie Cortez Masto
"National Republican Congressional Committee,Rep. Steve J. Scalise ",Stephen J. Scalise
The Honorable Morgan Griffith,Howard Morgan Griffith
The Honorable Markwayne Mullin,Markwayne Mullin
"Sherrod Brown, Patty Murray, Richard Neal, and Rob Portman",Richard Edmund Neal
"Mitchell, Paul",Paul Mitchell III
"Brooks, Mo",Morris J. Brooks Jr.
"Comer, James",James R. Comer Jr.
"Goldman, Craig",Angela Dawn Craig
"Brooks, Roy",Morris J. Brooks Jr.
"Geren, Charlie",Charles Joseph Crist
"King, Nancy",Angus Stanley King Jr.
"Crosby, Brian",Robert Brian Gibbs
"Hancock, Kelly",George J. Kelly Jr.
"Walker, Jay",Bradley Mark Walker
"Peters, Douglas",Scott H. Peters
"Luedtke, Eric",Eric Michael Swalwell
"Klausmeier, Katherine",Katherine Anne Castor
"Ferguson, William",Anderson Drew Ferguson IV
"Hogan, Larry",Larry D. Bucshon
"Powell, Beverly",Debbie Mucarsel-Powell
"Abbott, Greg",Gregory Paul Walden
"Taylor, Larry",Nicholas Van Taylor
"Hawley, Josh",Joshua David Hawley
"Turner, Chris",Michael R. Turner
"Jones, Adrienne",Walter Beaman Jones Jr.
Cong. Yvette Clark,Katherine M. Clark
Dan Lipinski ,Daniel William Lipinski
Kevin McCarthy ,Kevin O. McCarthy
Liz Cheney ,Elizabeth Lynne Cheney
Bobby Scott ,Robert Cortez Scott
Lacy Clay ,William Lacy Clay Jr.
Glen Grothman,Glenn S. Grothman
Colin Peterson,Collin Clark Peterson
U.S. Senator Susan M. Collins,Susan Margaret Collins
Tim Walberg ,Timothy L. Walberg
Trey Hollingsworth ,Joseph A. Hollingsworth III
Troy Balderson ,William Troy Balderson
Sanford Bishop Jr.,Sanford Dixon Bishop Jr.
Ed Perlmutter for CO,Edwin G. Perlmutter
David Valadao ,David Adam Smith
Garland Tucker ,Garland Hale Barr IV
Rep Maxine Waters,Maxine Waters
Kind For Congress Committee,Ronald James Kind
Jason Smith For Congress,Jason T. Smith
Fundraising: 7/15 Doug Collins,Douglas Allen Collins
French Hill For Arkansas,James French Hill
Fundraising: 9/24 French Hill,James French Hill
Friends Of Pat Toomey,Patrick Joseph Toomey
Cathy McMorris Rodges For Congress,Cathy Ann McMorris Rodgers
Fundraising: 6/19 Doug Collins Dinner,Douglas Allen Collins
Events: 10/16 Capito Dinner,Shelley Moore Capito
Events: 10/30 Doug Collins,Douglas Allen Collins
Friends Of Mark Warner,Mark Robert Warner
Michael Burgess For Congress,Michael C. Burgess
Events: 11/19 Riggleman,Denver Lee Riggleman III
"Ben Sasse For U.S. Senate, Inc.",Benjamin Eric Sasse
Val Demings For Congress,Valdez B. Demings
Ted Budd For Congress,Theodore Paul Budd
"Friends Of Denver Riggleman, Inc.",Denver Lee Riggleman III
Tom Reed For Congress,John Francis Reed
Clyburn,James Enos Clyburn
Monika Johnson-Hostler,Eddie Bernice Johnson
Trey4Congress IN,Joseph A. Hollingsworth III
Hale for Congress,Garland Hale Barr IV
Kelly for United States Senate,George J. Kelly Jr.
Patricia Hackett,Patricia Lynn Johns Murray
Sen. Richard Shelby Leadership PAC,Richard Craig Shelby
Joint Fundraising Committee of Friends of Pat Toomey and PA Prosperity Fund PAC,Patrick Joseph Toomey
Jim Langevin,James R. Langevin
Congressman Jeff Duncan,Jeffrey Darren Duncan
Congressman Joe Cunningham,Joseph K. Cunningham
Senator Lindsey Graham ,Lindsey Olin Graham
McConnell For Majority Leader Committee,Addison Mitchell McConnell
Team Mitt,Willard Mitt Romney
Rep. Bonnie Watson-Coleman,Bonnie Watson Coleman
"Joseph Robinette Biden, Jr.Former Vice President of the United States",Charles Joseph Crist
Ronald Reagan Presidential Library & Museum,Ronald James Kind
Rep. Ed Case,Edward Espenett Case
Rep Brendan F Boyle,Brendan F. Boyle
Rep Debbie MucarselPowell,Debbie Mucarsel-Powell
Rep John Garamendi,John Raymond Garamendi
Rep Harley Rouda,Harley E. Rouda Jr.
Rep Jared Huffman,Jared William Huffman
Rep Lois Frankel,Lois J. Frankel
Rep Mike Waltz,Michael G. Waltz
Rep Grace F Napolitano,Grace Flores Napolitano
President Donald J. Trump,Timothy J. Ryan
Bernie Sanders,Bernard Sanders
Ayanna Pressley,Ayanna Pressley
Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez
Joshua Collins,Susan Margaret Collins
Anthony Clark,Katherine M. Clark
Rep. Mike Turner,Michael R. Turner
Sem. Jim Inhofe,James Mountain Inhofe
Rep. Mike Waltz,Michael G. Waltz
Congressman James E. Clyburn,James Enos Clyburn
Katherine Schroeder,Katherine Anne Castor
"Peters, Gary ",Gary C. Peters
"Doris Matsui, H CA 06",Doris Okada Matsui
"Anna Eshoo, H CA 18",Anna Georges Eshoo
"Thom Tillis, S NC",Thomas Roland Tillis
"Frank Pallone, H NJ 06",Frank Joseph Pallone Jr.
"Debbie Dingell, H MI 12",Deborah Ann   Dingell
"Mitch McConnell, S KY",Addison Mitchell McConnell
Rep James E. Clyburn (SC-06),James Enos Clyburn
Michael Alexander Blake (NY-15),Andrew Lamar Alexander
Timothy J. Ryan,Timothy J. Ryan
Rep. Steven Alexzander Horsford (NV-04),Steven Alexzander Horsford
Rep. Val Demings (FL-10),Valdez B. Demings
Congresswoman Donna Shalala,Donna E. Shalala
"Nancy Pelosi, Speaker of the House of Representative",Nancy Patricia Pelosi
Katherine Anne Castor,Katherine Anne Castor
"David Alfred Perdue, Jr.",David Alfred Perdue Jr.
Theodore Paul Budd,Theodore Paul Budd
Joni Kay Ernst,Joni Kay   Ernst
James V. Panetta,James Varni Panetta
Michael K. Braun,Mike Braun
"Daniel Blue, Jr.",Daniel Milton Newhouse
Michael J. Bost,Michael J. Bost
Mark Kelley,Gerald Mark McNerney
Mikie Sherill,Rebecca Michelle Sherrill
Jeff Denham,Jeffrey Lane Fortenberry
Rep. Gil Cisneros,Gilbert Cisneros
Pascrell for Congress,William J. Pascrell Jr.
Michelle Fischbach ,Rebecca Michelle Sherrill
Rep. Anthony Gonzales ,Anthony J. Brindisi
The Honorable Rob Portman,Robert Jones Portman
The Honorable Buddy Carter,Earl Leroy Carter
The Honorable Blaine Luetkemeyer,W. Blaine Luetkemeyer
The Honorable Brian Fitzpatrick,Brian K. Fitzpatrick
The Honorable Beth Van Duyne,Jeff Van Drew
The Honorable Garret Graves,Garret N. Graves
The Honorable Doug Collins,Douglas Allen Collins
The Honorable Cathy McMorris Rodgers,Cathy Ann McMorris Rodgers
The Honorable Elise Stefanik,Elise M. Stefanik
The Honorable Michael Burgess,Michael C. Burgess
Congressman Amerish Bera,Amerish Bera
Congressman Amerish Bera ,Amerish Bera
Congressman Gus Bilirakis,Gus Michael Bilirakis
Senator William Cassidy,William Cassidy
Congresswoman Kathy Castor,Katherine Anne Castor
Congresswoman Catherine Cortez Masto,Catherine Marie Cortez Masto
Senator Christopher Coons,Christopher A. Coons
Congressman Brendan Boyle ,Brendan F. Boyle
Senator Susan M. Collins,Susan Margaret Collins
Congressman Cory Gardner,Cory Scott Gardner
Congresswoman Suzan DelBene,Suzan Kay DelBene
Congressman Michael Crapo,Michael Dean Crapo
Congressman Gary Palmer,Gary James Palmer
Congressman Brett Guthrie,Steven Brett Guthrie
Congressman Hakeem Jeffries ,Hakeem S. Jeffries
Congresswoman Kay Granger ,Kay N. Mullendore Granger
Congressman Ronald James Kind,Ronald James Kind
Congressman Robert Latta,Robert Edward Latta
Senator Maggie Hassan,Margaret Wood Hassan
Senator Richard Burr,Richard Mauze Burr
"Congressman Frank Pallone, Jr.",Frank Joseph Pallone Jr.
Senator Jacky Rosen,Jacklyn S. Rosen
Senator Lamar Alexander,Andrew Lamar Alexander
Congressman Gregory Walden,Gregory Paul Walden
Rep. Russell Fulcher,Russell M. Fulcher
Rep. Darrell Issa,James Varni Panetta
Leadership PAC for John Barrasso,John Anthony Barrasso
"Fundraising Committee: Jim Jordan for Congress, National Republican Congressional Committee",James D. Jordan
"Kevin McCarthy for Congress, National Republican Congressional Committee",Kevin O. McCarthy
John F. Reed ,John Francis Reed
Elise M. Stefanik,Elise M. Stefanik
Congressman G.K. Butterfield,George Kenneth Butterfield Jr.
Senator Josh Hawley,Joshua David Hawley
Congressman Richard E. Neal,Richard Edmund Neal
Senator David Purdue,Paul David Tonko
Congresswoman Stacey Plaskett,Stacey E. Plaskett
Cory Booker,Cory Anthony Booker
Jennifer Gonzales,Jenniffer Aydin Gonzalez-Colon
Michael Best PAC,Michael Francis Doyle Jr.
Elizabeth Rounds,Marion Michael Rounds
Cory Booker ,Cory Anthony Booker
Julian Castro ,Joaquin Castro
U.S. Representative Susan Wild,Susan Ellis Wild
Representative Adam Schiff,Adam Bennett Schiff
Representative Jim Cooper,James Hayes Shofner Cooper
Cynthia Lummis (U.S. Senate candidate),Alan S. Lowenthal
Congressman Josh Winegarner,Joshua David Hawley
Rand Paul for US Senate,Randal Howard Paul
Roger Misso for Congress,John Roger Williams
Donna Shalala ,Donna E. Shalala
Mario Diaz-Balart ,Mario Diaz-Balart
Representative Don Young,Donald Edwin Young
Representative McGovern,James P. McGovern
LINDSEY GRAHAM,Lindsey Olin Graham
PAUL COOK,Paul J. Cook
KEN CALVERT,Kenneth Stanton Calvert
CHRIS STEWART,Christopher Douglas Stewart
JOE WILSON,Addison Graves Wilson
CORY CARDNER,Cory Scott Gardner
Rep. Adrian Smith; Rep. James Clyburn.,James Enos Clyburn
Representative Stephen Lynch,Stephen F. Lynch
Representative Same Graves,Garret N. Graves
Representative Rodney Davis,Rodney L. Davis
"William Lacy Clay, Jr.",William Lacy Clay Jr.
NANETTE BARRAGAN,Nanette Diaz Barragan
BILL CASSIDY,William Cassidy
SHELLY CAPITO,Shelley Moore Capito
DOUG COLLINS,Douglas Allen Collins
DAVE JOYCE,David P. Joyce
DARIN MCKAY LAHOOD,Darin McKay LaHood
MARCIA FUDGE,Marcia L. Fudge
THOMAS MCCLINTOCK,Thomas Miller McClintock
MITCH MCCONNELL,Addison Mitchell McConnell
STEVEN HORSFORD,Steven Alexzander Horsford
RICHARD E NEAL,Richard Edmund Neal
SUSIE LEE,Suzanne Kelley Lee
TODD YOUNG,Todd Christopher Young
Kirsten Gillibrand,Kirsten Elizabeth Rutnik Gillibrand
Brian Steil,Bryan G. Steil
Kim Daugherty,Andrew Kim
Rep Filemon B Vela,Filemon B. Vela
Rep Bill P Huizenga,William P. Huizenga
John Tecklenburg,John Roger Williams
Rep. Frank Upton,Frederick Stephen Upton
Candidate Genevieve Collins,Susan Margaret Collins
Rep. Greg Pence (primary and general),Gregory J. Pence
Rep. Richard Hudson (primary and general),Richard Lane Hudson Jr.
Sen. Cory Gardner; NRSC,Cory Scott Gardner
Rep. Guy Reschenthaler (primary and general),Guy L. Reschenthaler
Candidate Beth Van Duyne,Christopher J. Van Hollen Jr.
Rep. David Kustoff (primary and general),David F. Kustoff
 US Rep. Michael Waltz (FL-06),Michael G. Waltz
"Joe Dallas Millado, candidate (FL-03-R)",Robert J. Wittman
"US Rep. Neal Dunn, MD (FL-02)",Neal Patrick Dunn
"Amanda Makki, candidate (FL-13-R)",David Cheston Rouzer
Rep. Lisa Blunt Rochester (DE-AL),Lisa Blunt Rochester
Sen. Jacky Rosen (NV),Jacklyn S. Rosen
Sen. Steve Daines (MT),Steven Daines
"""Rep. Earl """"Buddy"""" Carter (GA-1)""",Earl Leroy Carter
Congressman Tom Emmer,Thomas Earl Emmer Jr.
Congressman Kevin Hern,Kevin R. Hern
Congressman Lloyd Smucker,Lloyd K. Smucker
Congressman Ami Bera,Amerish Bera
Congresswoman Val Demings,Valdez B. Demings
Congressman Kendra Horn,Kendra Horn
Congressman Brad Schneider,Bradley Scott Schneider
Congressman Terri Sewell,Terrycina Andrea Sewell
Congresswoman Frederica Wilson,Frederica S. Wilson
Congressman Danny Davis,Danny K. Davis
Congressman Suzanne Delbene,Tammy Suzanne Green Baldwin
Chris Bubser,Christopher A. Coons
Congressman Mark Walker,Bradley Mark Walker
Lynne Homrich,Elizabeth Lynne Cheney
Congressman Elise Stefanik,Elise M. Stefanik
Congressman Steve Palazzo,Steven McCarty Palazzo
Congressman Liz Cheney,Elizabeth Lynne Cheney
Congressman Brian Babin,Brian Babin
Congressman Kerry Armstrong,Kelly M. Armstrong
Congressman Greg Murphy,Gregory Francis Murphy
Cong. David Price,David Eugene Price
Elijah Cummings D-MD,Elijah Eugene Cummings
Lizzie Fletcher D-TX,Elizabeth Pannill Fletcher
Cedric Richmond D-LA,Cedric Levon Richmond
Deb Fischer R-NE,Debra Strobel Fischer
Roger Wicker R-MS,Roger Frederick Wicker
Sen. Ed Markey (D-MA),Edward John Markey
Amy McGrath for Senate (KY),Kevin O. McCarthy
Rep Debbie Mucarsel-Powell,Debbie Mucarsel-Powell
Sen Richard Blumenthal,Richard Blumenthal
Rep Mike Conaway,K. Michael Conaway
US Senator Mike CrapoUS Congressman John Lewis,Michael Dean Crapo
"Sen. Susan Collins, Sen. Martha McSally, Sen. Cory Gardner",Susan Margaret Collins
Article 1 Political Action Committee (Rep. John Yarmuth),John Allen Yarmuth
Del. Stacey E. Plaskett,Stacey E. Plaskett
Del. Jennifer Gonzalez Colon,Jenniffer Aydin Gonzalez-Colon
Senator John (Jack) Reed,John Francis Reed
US Rep. Marcy Kaptur,Marcia Carolyn Kaptur
US Sentaor Lisa Murkowski,Lisa Ann Murkowski
US Rep Haley Stevens ,Haley Stevens
US Rep. John Carter,John Rice Carter
Us Senator Joni Ernst ,Joni Kay   Ernst
US Rep. David Joyce,John Joyce
Katherine M. Clark,Katherine M. Clark
Rep. Alan Lowenthal PhD,Alan S. Lowenthal
BILL PASCRELL,William J. Pascrell Jr.
JOE COURTNEY,Joseph D. Courtney
MARCY KAPTUR,Marcia Carolyn Kaptur
Gerald McNerney,Gerald Mark McNerney
TIM RYAN,Timothy J. Ryan
USNIC Distinguished Leadership Awards Dinner on July 17th honoring U.S. Senate Committee on Foreign Relations Chairman James Risch,James Elroy Risch
Robert Scott,Robert Cortez Scott
Chris Carr,Christopher C. Pappas
Lynn Fitch,Patricia Lynn Johns Murray
Curtis Hill ,Katherine Lauren Hill
Jeff Landry ,Jeffrey Alan Merkley
Charlie Baker,Charles Joseph Crist
Spencer Cox,Terrence John Cox
Billy Nungesser,Billy Long
Mike Adams,Alma Shealey Adams
Patrick Morrissey,Robert Patrick Casey Jr.
Jaime Herrera Buetler,Jaime Lynn Herrera Beutler
The Honorable Patrick Leahy (D-VT),Patrick Joseph Leahy
Guy Reschenthaler for Congress Committee,Guy L. Reschenthaler
Dwight Evans for Congress Committee,Dwight Evans
Fred Keller for Congress Committee,Frederick B. Keller
Paul Cook,Paul J. Cook
Scalise Leadership Fund,Stephen J. Scalise
Timothy Scott,Timothy Eugene Scott
